% start	end	CellId	IMSI	RNTI	LCID	nTxPDUs	TxBytes	nRxPDUs	RxBytes	delay	stdDev	min	max	PduSize	stdDev	min	max
0	0.25	1	1	1	0	1	12	1	12	0.000635713	0	0.000635713	0.000635713	12	0	12	12	
0	0.25	1	1	1	1	3	37	1	2	0	0	0	0	2	0	2	2	
0	0.25	1	1	1	3	554	1464182	554	1464182	0.000686899	6.74086e-05	0.000671427	0.00151071	2642.93	602.312	544	7892	
0.25	0.5	1	1	1	3	997	2640994	1000	2646277	0.000683123	3.64747e-05	0.000671427	0.001225	2646.28	546.923	2113	5281	
0.5	0.75	1	1	1	3	999	2640998	1000	2642055	0.000681427	2.48743e-05	0.000671427	0.001225	2642.06	534.564	2113	5281	
0.75	1	1	1	1	3	1000	2641000	1001	2643113	0.000680989	1.52883e-05	0.000671427	0.000974998	2640.47	528.102	2113	3169	
1	1.25	1	1	1	3	999	2640998	1001	2644168	0.000683058	4.24509e-05	0.000671427	0.001475	2641.53	534.399	2113	5281	
1.25	1.5	1	1	1	3	1000	2641000	1001	2643113	0.000681988	3.55975e-05	0.000671427	0.001475	2640.47	528.102	2113	3169	
1.5	1.75	1	1	1	3	997	2640994	1000	2652613	0.000684266	5.02924e-05	0.000671427	0.00151071	2652.61	546.829	2112	5281	
1.75	2	1	1	1	3	1000	2641000	1000	2641000	0.000680356	8.93297e-06	0.000671427	0.000689284	2641	528.264	2113	3169	
